The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-764600,-4.843,223.199,496.94
-764500,-4.788,223.455,496.55
-764400,-4.76,223.712,496.17
-764300,-4.751,223.969,495.78
-764200,-4.744,224.1,495.39
-764100,-4.738,222.823,495
-764000,-4.732,221.966,494.62
-763900,-4.726,221.4,494.23
-763800,-4.72,223.723,493.86
-763700,-4.792,225.7,493.5
-763600,-4.857,223.193,493.14
-763500,-4.922,220.277,492.78
-763400,-4.987,217.362,492.41
-763300,-5.052,215,492.05
-763200,-5.117,215.266,491.69
-763100,-5.16,215.489,491.32
-763000,-5.278,215.712,490.96
-762900,-5.368,216,490.6
-762800,-5.457,215.648,490.26
-762700,-5.546,215.152,489.92
-762600,-5.635,214.657,489.58
-762500,-5.724,214.161,489.24
-762400,-5.78,213.665,488.9
-762300,-5.965,213.17,488.56
-762200,-6.101,212.674,488.22
-762100,-6.236,212,487.88
-762000,-6.371,211.382,487.54
-761900,-6.506,210.416,487.21
-761800,-6.642,209.451,487.01
-761700,-6.72,208.485,486.82
-761600,-6.849,207.52,486.62
-761500,-6.94,206.1,486.43
-761400,-7.031,206.145,486.24
-761300,-7.122,206.228,486.04
-761200,-7.213,206.312,485.85
-761100,-7.33,206.396,485.66
-761000,-7.323,206.48,485.46
-760900,-7.313,206.564,485.27
-760800,-7.303,206.648,485.2
-760700,-7.293,206.732,485.12
-760600,-7.283,206.816,485.05
-760500,-7.27,206.9,484.98
-760400,-7.253,207.538,484.91
-760300,-7.227,208.175,484.83
-760200,-7.201,208.8,484.76
-760100,-7.175,209.494,484.69
-760000,-7.149,210.175,484.61
-759900,-7.12,210.856,484.54
-759800,-7.011,211.537,484.64
-759700,-6.887,212.218,484.74
-759600,-6.763,212.898,484.83
-759500,-6.638,213.579,484.93
-759400,-6.514,214.26,485.03
-759300,-6.43,214.9,485.12
-759200,-6.339,215.652,485.22
-759100,-6.271,216.361,485.32
-759000,-6.202,217.07,485.41
-758900,-6.134,217.9,485.51
-758800,-6.07,217.839,485.7
-758700,-6.005,217.765,485.9
-758600,-5.944,217.692,486.09
-758500,-5.883,217.6,486.29
-758400,-5.822,216.801,486.48
-758300,-5.77,215.3,486.67
-758200,-5.663,216.075,486.87
-758100,-5.571,217.388,487.06
-758000,-5.478,219.2,487.25
-757900,-5.385,218.551,487.45
-757800,-5.3,217.503,487.84
-757700,-5.258,216.456,488.22
-757600,-5.219,215,488.61
-757500,-5.18,214.62,489
-757400,-5.141,213.997,489.39
-757300,-5.09,213.374,489.77
-757200,-5.14,212.75,490.16
-757100,-5.211,212.127,490.55
-757000,-5.282,211.504,490.93
-756900,-5.353,210.7,491.32
-756800,-5.424,210.051,491.73
-756700,-5.5,209.136,492.15
-756600,-5.62,208.222,492.56
-756500,-5.748,207.308,492.97
-756400,-5.877,206,493.38
-756300,-6.006,205.729,493.79
-756200,-6.134,205.253,494.2
-756100,-6.25,204.778,494.62
-756000,-6.432,204.302,495.03
-755900,-6.598,203.826,495.44
-755800,-6.764,203.351,495.92
-755700,-6.93,202.875,496.41
-755600,-7.096,202.399,496.89
-755500,-7.22,201.9,497.38
-755400,-7.288,201.376,497.86
-755300,-7.342,200.825,498.34
-755200,-7.397,200.5,498.83
-755100,-7.451,199.718,499.31
-755000,-7.505,199.163,499.8
-754900,-7.54,198.608,500.28
-754800,-7.598,198.053,500.77
-754700,-7.641,197.498,501.25
-754600,-7.683,196.943,501.73
-754500,-7.726,196.388,502.22
-754400,-7.769,195.8,502.7
-754300,-7.805,194.814,503.19
-754200,-7.836,193.765,503.67
-754100,-7.867,192.717,504.16
-754000,-7.898,191.5,504.64
-753900,-7.929,191.918,505.12
-753800,-7.97,192.415,505.56
-753700,-8.001,192.912,506
-753600,-8.048,193.409,506.43
-753500,-8.094,193.906,506.87
-753400,-8.141,194.403,507.3
-753300,-8.188,194.9,507.74
-753200,-8.24,195.397,508.18
-753100,-8.26,195.894,508.61
-753000,-8.283,196.5,509.05
-752900,-8.305,194.723,509.48
-752800,-8.327,192.444,509.82
-752700,-8.35,190.165,510.16
-752600,-8.37,188,510.5
-752500,-8.38,188.285,510.84
-752400,-8.388,188.556,511.18
-752300,-8.397,188.826,511.52
-752200,-8.406,189.097,511.86
-752100,-8.415,189.368,512.2
-752000,-8.42,189.639,512.53
-751900,-8.462,189.91,512.87
-751800,-8.493,190.1,513.12
-751700,-8.523,189.142,513.36
-751600,-8.553,188.404,513.6
-751500,-8.59,187.667,513.84
-751400,-8.589,186.93,514.08
-751300,-8.587,186.2,514.33
-751200,-8.585,185.931,514.57
-751100,-8.583,185.664,514.81
-751000,-8.581,185.397,515.05
-750900,-8.58,185.131,515.3
-750800,-8.562,184.864,515.39
-750700,-8.547,184.597,515.49
-750600,-8.533,184.331,515.59
-750500,-8.518,184,515.68
-750400,-8.5,184.216,515.78
-750300,-8.477,184.499,515.88
-750200,-8.444,184.8,515.97
-750100,-8.412,184.575,516.07
-750000,-8.38,184.335,516.17
-749900,-8.347,184.096,516.26
-749800,-8.32,183.856,516.26
-749700,-8.345,183.616,516.26
-749600,-8.366,183.377,516.26
-749500,-8.387,183.137,516.26
-749400,-8.409,182.9,516.26
-749300,-8.44,182.59,516.26
-749200,-8.455,182.282,516.26
-749100,-8.484,181.975,516.26
-749000,-8.512,181.667,516.26
-748900,-8.541,181.4,516.26
-748800,-8.569,181.261,516.17
-748700,-8.6,181.138,516.07
-748600,-8.615,181.015,515.97
-748500,-8.631,180.891,515.88
-748400,-8.648,180.768,515.78
-748300,-8.664,180.645,515.68
-748200,-8.68,180.522,515.59
-748100,-8.69,180.4,515.49
-748000,-8.675,180.518,515.39
-747900,-8.665,180.635,515.3
-747800,-8.654,180.8,515.13
-747700,-8.644,180.8,514.96
-747600,-8.63,180.8,514.79
-747500,-8.629,180.8,514.62
-747400,-8.627,180.8,514.45
-747300,-8.625,180.8,514.28
-747200,-8.624,180.8,514.11
-747100,-8.622,180.8,513.94
-747000,-8.62,181.342,513.77
-746900,-8.61,181.834,513.6
-746800,-8.599,182.327,513.43
-746700,-8.589,182.819,513.26
-746600,-8.578,183.1,513.09
-746500,-8.568,182.586,512.92
-746400,-8.56,182.227,512.75
-746300,-8.56,181.867,512.58
-746200,-8.56,181.508,512.41
-746100,-8.56,181.149,512.24
-746000,-8.56,180.789,512.07
-745900,-8.56,180.43,511.91
-745800,-8.56,180.2,511.71
-745700,-8.528,180.447,511.52
-745600,-8.503,180.628,511.32
-745500,-8.478,180.809,511.13
-745400,-8.454,180.99,510.94
-745300,-8.429,181.172,510.74
-745200,-8.41,181.353,510.55
-745100,-8.46,181.534,510.36
-745000,-8.502,181.715,510.16
-744900,-8.543,181.897,509.97
-744800,-8.585,182,509.9
-744700,-8.626,181.766,509.82
-744600,-8.67,181.602,509.75
-744500,-8.696,181.439,509.68
-744400,-8.724,181.2,509.6
-744300,-8.752,181.144,509.53
-744200,-8.78,181.039,509.46
-744100,-8.808,180.934,509.39
-744000,-8.84,180.83,509.31
-743900,-8.855,180.725,509.24
-743800,-8.873,180.621,509.19
-743700,-8.891,180.516,509.14
-743600,-8.909,180.4,509.1
-743500,-8.927,180.725,509.05
-743400,-8.95,181.09,509
-743300,-8.908,181.455,508.95
-743200,-8.851,181.7,508.9
-743100,-8.794,181.818,508.85
-743000,-8.738,181.907,508.81
-742900,-8.681,181.996,508.76
-742800,-8.6,182.085,508.83
-742700,-8.588,182.174,508.9
-742600,-8.567,182.3,508.98
-742500,-8.546,181.772,509.05
-742400,-8.525,180.861,509.12
-742300,-8.504,179.95,509.19
-742200,-8.483,179.039,509.27
-742100,-8.47,177.9,509.34
-742000,-8.422,177.773,509.41
-741900,-8.386,177.604,509.48
-741800,-8.351,177.435,509.68
-741700,-8.316,177.265,509.87
-741600,-8.28,177.096,510.06
-741500,-8.25,176.927,510.26
-741400,-8.248,176.757,510.45
-741300,-8.246,176.6,510.65
-741200,-8.245,177.348,510.84
-741100,-8.243,178.048,511.03
-741000,-8.241,178.6,511.23
-740900,-8.24,178.649,511.42
-740800,-8.207,178.689,511.69
-740700,-8.179,178.729,511.95
-740600,-8.151,178.77,512.22
-740500,-8.124,178.81,512.49
-740400,-8.096,178.85,512.75
-740300,-8.08,178.9,513.02
-740200,-7.823,179.98,513.29
-740100,-7.645,181.382,513.55
-740000,-7.467,182.784,513.82
-739900,-7.288,184.187,514.08
-739800,-7.16,185,514.4
-739700,-6.933,187.578,514.71
-739600,-6.755,189.394,515.03
-739500,-6.577,191.209,515.34
-739400,-6.4,193.025,515.66
-739300,-6.27,194.841,515.97
-739200,-6.097,196.656,516.29
-739100,-5.961,197.8,516.6
-739000,-5.825,198.969,516.92
-738900,-5.689,199.822,517.23
-738800,-5.62,200.3,517.57
-738700,-5.549,201.861,517.91
-738600,-5.502,202.945,518.25
-738500,-5.454,204.029,518.59
-738400,-5.407,205.113,518.93
-738300,-5.38,206.5,519.27
-738200,-5.196,207.271,519.61
-738100,-5.068,208.341,519.94
-738000,-4.94,209.412,520.28
-737900,-4.76,210.6,520.62
-737800,-4.729,210.7,520.91
-737700,-4.676,210.812,521.2
-737600,-4.623,210.925,521.49
-737500,-4.571,211.037,521.78
-737400,-4.52,211.149,522.08
-737300,-4.51,211.3,522.37
-737200,-4.5,210.39,522.66
-737100,-4.491,209.01,522.95
-737000,-4.481,208.1,523.24
-736900,-4.47,208.474,523.53
-736800,-4.391,208.752,523.72
-736700,-4.299,209.031,523.92
-736600,-4.208,209.31,524.11
-736500,-4.117,209.7,524.3
-736400,-4.03,208.818,524.5
-736300,-3.965,207.348,524.69
-736200,-3.903,205.879,524.88
-736100,-3.841,204.1,525.08
-736000,-3.779,203.743,525.27
-735900,-3.72,203.292,525.47
-735800,-3.775,202.84,525.54
-735700,-3.827,202.388,525.61
-735600,-3.879,201.937,525.68
-735500,-3.931,201.3,525.76
-735400,-3.99,201.381,525.83
-735300,-4.018,201.518,525.9
-735200,-4.05,201.7,525.97
-735100,-4.083,202.378,526.05
-735000,-4.115,203.391,526.12
-734900,-4.15,204.403,526.19
-734800,-4.114,205.416,526.05
-734700,-4.075,206.428,525.9
-734600,-4.036,207.4,525.76
-734500,-3.998,206.827,525.61
-734400,-3.95,206.276,525.47
-734300,-3.947,205.724,525.32
-734200,-3.943,205.3,525.17
-734100,-3.939,205.137,525.03
-734000,-3.936,205.005,524.88
-733900,-3.93,204.873,524.74
-733800,-3.917,204.74,524.42
-733700,-3.892,204.608,524.11
-733600,-3.867,204.475,523.79
-733500,-3.842,204.4,523.48
-733400,-3.817,204.147,523.17
-733300,-3.79,203.9,522.85
-733200,-3.848,204.071,522.54
-733100,-3.913,204.352,522.22
-733000,-3.977,204.632,521.91
-732900,-4.041,204.913,521.59
-732800,-4.105,205.193,521.03
-732700,-4.2,205.474,520.48
-732600,-4.252,205.754,519.92
-732500,-4.351,205.9,519.36
-732400,-4.45,205.136,518.81
-732300,-4.549,204.62,518.25
-732200,-4.648,204.104,517.69
-732100,-4.747,203.8,517.14
-732000,-4.85,203.991,516.58
-731900,-4.917,204.127,516.02
-731800,-4.987,204.262,515.3
-731700,-5.057,204.397,514.57
-731600,-5.127,204.533,513.84
-731500,-5.197,204.668,513.12
-731400,-5.28,204.804,512.39
-731300,-5.273,204.9,511.66
-731200,-5.265,204.628,510.94
-731100,-5.257,204.418,510.21
-731000,-5.249,204.207,509.48
-730900,-5.241,204.1,508.76
-730800,-5.23,204.077,507.89
-730700,-5.237,204.062,507.01
-730600,-5.249,204.046,506.14
-730500,-5.261,204.031,505.27
-730400,-5.274,204.016,504.4
-730300,-5.286,204,503.53
-730200,-5.298,204.101,502.66
-730100,-5.31,204.202,501.78
-730000,-5.366,204.304,500.91
-729900,-5.422,204.405,500.04
-729800,-5.477,204.507,499.1
-729700,-5.533,204.609,498.15
-729600,-5.589,204.71,497.21
-729500,-5.645,204.812,496.26
-729400,-5.69,204.913,495.32
-729300,-5.714,205.015,494.37
-729200,-5.733,205.117,493.43
-729100,-5.753,205.218,492.48
-729000,-5.773,205.32,491.54
-728900,-5.793,205.4,490.6
-728800,-5.813,205.297,489.65
-728700,-5.83,205.212,488.71
-728600,-5.865,205.1,487.76
-728500,-5.895,205.133,486.82
-728400,-5.926,205.18,485.87
-728300,-5.957,205.228,484.93
-728200,-5.988,205.276,483.99
-728100,-6.019,205.324,483.04
-728000,-6.05,205.372,482.1
-727900,-6.038,205.42,481.15
-727800,-6.026,205.468,480.28
-727700,-6.014,205.5,479.41
-727600,-6.001,205.256,478.54
-727500,-5.989,205.07,477.67
-727400,-5.977,204.885,476.79
-727300,-5.96,204.7,475.92
-727200,-5.973,204.5,475.05
-727100,-5.994,204.881,474.18
-727000,-6.014,205.295,473.31
-726900,-6.035,205.708,472.43
-726800,-6.056,206.122,471.73
-726700,-6.076,206.536,471.03
-726600,-6.1,206.95,470.33
-726500,-5.981,207.363,469.63
-726400,-5.84,207.777,468.92
-726300,-5.7,208.1,468.22
-726200,-5.559,207.625,467.52
-726100,-5.418,207.235,466.82
